FBgn	Symbol	FullName	Symbol_synonym(s)
FBgn0040717	Nplp4	Neuropeptide-like precursor 4	CG15361|NPLP4|YSY
FBgn0040718	CG15353		BcDNA:RH63135
FBgn0040719	CG15357		
FBgn0040721	CG14350		
FBgn0040722	CG14349		
FBgn0040723	CG5011		
FBgn0040724	CG16906		
FBgn0040725	CG13946		
FBgn0040726	dpr1	defective proboscis extension response 1	CG13439|DPR1|Dpr-1|Dpr1|dpr|dpr1
FBgn0040729	CG15126		
FBgn0040730	CG15127		CG18365
FBgn0040732	CG16926		141315_at
FBgn0040733	BomS6	Bomanin Short 6	Bom068|CG15068|CT34939
FBgn0040734	BomS5	Bomanin Short 5	Bom065|CG15065|CT34936|IM2-like
FBgn0040735	BomT2	Bomanin Tailed 2	Bom836|CG16836
FBgn0040736	BomS3	Bomanin Short 3	BcDNA:RH58911|Bom3|CG16844|CT37419|DIM 3|IM3|im3
FBgn0040737	Tango8	Transport and Golgi organization 8	CG14503|TANGO8
FBgn0040738	CG14504		
FBgn0040740	CG14494		
FBgn0040742	CG15606		
FBgn0040743	CG15919		
FBgn0040744	CG12711		
FBgn0040747	CG12853		NEST:bs26d12|bs26d12.y1
FBgn0040748	CG13943		
FBgn0040751	CG13018		
FBgn0040752	Prosap	Prosap	BcDNA:GH23107|CG13354|CG30483|CG8122|D-ProSAP|ProSAP|Shank|anon-WO0118547.149|prosap|shank3
FBgn0040753	CG13341		
FBgn0040754	CG17059		BcDNA:GH04581
FBgn0040755	CG17580		BcDNA:AT18054
FBgn0040758	CG13166		
FBgn0040759	CG13177		
FBgn0040760	CG13181		
FBgn0040763	CG18336		CG13212
FBgn0040764	CG13230		
FBgn0040765	luna	luna	CG17326|CG33473|CG9087|DKLF|KLF|Klf|LUNA|lincRNA.284
FBgn0040766	CG13235		
FBgn0040767	CG13233		
FBgn0040768	CG13234		
FBgn0040769	CG12431		
FBgn0040770	CG12939		CG18354
FBgn0040772	CG12430		
FBgn0040773	COX7C	Cytochrome c oxidase subunit 7C	BcDNA:LD14731|CG2249|COXO|CoAVIIc|CoVIIc|VIIc|anon-EST:fe3A1
FBgn0040774	CG12922		
FBgn0040775	CG12158		BcDNA:RH45738|anon-WO0153538.61
FBgn0040777	CG14767		CG8575|dmCG14767
FBgn0040778	CG17977		
FBgn0040780	Atg10	Autophagy-related 10	ATG10|Atg10|CG12821
FBgn0040782	CG12827		
FBgn0040784	karr	karr	CG15323
FBgn0040785	CG12554		
FBgn0040786	CG14104		
FBgn0040787	CG12518		
FBgn0040791	CG13697		
FBgn0040793	CG7630		BcDNA:RH19679|anon-EST:Posey153|anon-EST:Posey228
FBgn0040794	CG13056		
FBgn0040795	CG13038		
FBgn0040796	CG13064		
FBgn0040797	CG13066		
FBgn0040798	CG13069		
FBgn0040799	CG13051		
FBgn0040800	CG13052		
FBgn0040801	CG13053		
FBgn0040802	CG12329		
FBgn0040804	CG13453		
FBgn0040805	CG12355		MP17|MP17L
FBgn0040806	CG13456		
FBgn0040809	CG13465		
FBgn0040811	CG13479		
FBgn0040812	CG8750		
FBgn0040814	CG14113		
FBgn0040815	CG14114		
FBgn0040816	CG12521		
FBgn0040817	CG14132		DIGF-7
FBgn0040820	CG14146		
FBgn0040821	CG14148		
FBgn0040822	CG14150		
FBgn0040823	dpr6	defective proboscis extension response 6	BcDNA:LD13525|CG14162|Dpr-6|Dpr6
FBgn0040824	CG14169		
FBgn0040827	CG13315		BcDNA:RH39779
FBgn0040828	CG13306		
FBgn0040832	CG8012		BcDNA:GH26995
FBgn0040833	CG7498		
FBgn0040837	CG8620		
FBgn0040838	CG12599		
FBgn0040841	CG13286		
FBgn0040842	CG15212		BcDNA:RE28658
FBgn0040843	CG15213		
FBgn0040844	CG12572		
FBgn0040846	CG17496		
FBgn0040849	Ir41a	Ionotropic receptor 41a	41a|CG17587|CG33492|DmelIR41a|IR41a
FBgn0040850	CG15210		
FBgn0040854	CG15222		
FBgn0040855	CG15223		
FBgn0040857	CG11366		
FBgn0040858	CG11359		
FBgn0040859	lncRNA:CR32658	long non-coding RNA:CR32658	CG11358|CR32658
FBgn0040860	CG11264		
FBgn0040861	CG15722		
FBgn0040864	CG15755		
FBgn0040869	CG15763		
FBgn0040870	CG12454		
FBgn0040871	CG12479		Minos1a
FBgn0040872	CG12694		
FBgn0040873	CG12696		
FBgn0040874	CG15600		
FBgn0040877	CG12994		
FBgn0040878	CG15911		
FBgn0040882	CG15045		
FBgn0040885	CG14189		
FBgn0040886	CG12528		
FBgn0040887	CG33254		BcDNA:RH26422|CG7418
FBgn0040890	ksh	kish	CG14199|ksh
FBgn0040892	CG14634		
FBgn0040893	CG14774		
FBgn0040895	CG14773		
FBgn0040896	CG14775		BcDNA:GH26828
FBgn0040898	CG14809		
FBgn0040899	CG17776		
FBgn0040900	CG17777		
FBgn0040901	CG13757		
FBgn0040904	CG15577		
FBgn0040905	CG15578		
FBgn0040906	CG15579		
FBgn0040907	mRpL33	mitochondrial ribosomal protein L33	BcDNA:GH15938|CG3712|L33
FBgn0040908	CG12687		
FBgn0040909	CG12686		
FBgn0040910	CG12685		
FBgn0040911	CG12683		
FBgn0040918	schlank	schlank	CG15898|CG3576|CerS|DLAG1|DLag1|Dlag1|Lag1|Schlank|l(1)G0061|l(1)G0365|l(1)G0489|lag1|lon
FBgn0040919	CG15895		
FBgn0040922	CG15036		
FBgn0040923	CG11368		BcDNA:RH67809
FBgn0040926	CG15334		
FBgn0040928	CR15345		BcDNA:RE52922|CG15345
FBgn0040929	CG12659		
FBgn0040931	CG9034		BcDNA:RH45008|GH20078
FBgn0040932	CG12650		
FBgn0040933	CG15315		
FBgn0040937	CG15248		
FBgn0040941	CG15308		
FBgn0040942	CG12643		
FBgn0040945	CG12639		
FBgn0040949	CG13998		
FBgn0040950	Muc26B	Mucin 26B	BcDNA:RE30702|CG13990
FBgn0040957	CG14272		
FBgn0040958	Peritrophin-15b	Peritrophin-15b	CG13395|CG31893|Dm15b|Peritrophi-15b
FBgn0040959	Peritrophin-15a	Peritrophin-15a	CG17814|CT39472|Dm15a|Peritrophin-15A|peritrophin-15a
FBgn0040962	CG15868		
FBgn0040963	CG18662		
FBgn0040964	CG18661		BcDNA:SD17344|METTL26|Mettl26
FBgn0040965	lncRNA:CR13130	long non-coding RNA:CR13130	CG13130|CR13130
FBgn0040967	CG18666		
FBgn0040968	CG14933		
FBgn0040970	CG15492		
FBgn0040972	CG16978		CT35582
FBgn0040973	CG16824		
FBgn0040977	CG15292		
FBgn0040978	CG7473		
FBgn0040979	CG15285		
FBgn0040984	CG4440		BcDNA:RE16123
FBgn0040985	CG6115		BcDNA:GH16758
FBgn0040987	CG15139		
FBgn0040988	CG15146		
FBgn0040989	CG5693		
FBgn0040990	CG15156		
FBgn0040992	CG10570		Dromel_CG10570_FBtr0081122_mORF
FBgn0040993	CG17325		BcDNA:RH02271|Dromel_CG17325_FBtr0081102_mORF
FBgn0040994	CR17567		BcDNA:GH05530|CG17567|anon-WO0140519.80|bs35c03.y1|bs36b02.y1
FBgn0040996	CG12617		38C.31
FBgn0041000	CG15476		38D.5
FBgn0041004	CG17715		BcDNA:RE07178|BcDNA:RE63764|CG18603
FBgn0041006	CG13302		
FBgn0041007	CG17541		
FBgn0041008	CG41132		CG12459
FBgn0041087	wun2	wunen-2	BEST:CK02248|CG8805|CK02248|DrPAP2[G]|DrPAP2[G]|LPP-like|N14|Pap2G|Tunen|WUN-like|Wun2|Wunen-2|wun-2
FBgn0041088	volcano	volcano	
FBgn0041091	ubi-d4	ubi-d4	
FBgn0041092	tai	taiman	58/2|CG13109|CG18494|DAIB1|DmTai|DmTaiman|EP(2)2630|NEST:bs13g05|TAI|Tai|Taiman|bs13g05.y1|l(2)01351|l(2)k05802|l(2)k05809
FBgn0041093	stau::Mdoa\stau	stau::Mdoa\stau	
FBgn0041094	scyl	scylla	7590|CG7590|Scyl|Scylla|anon-WO0118547.215|scy|scylla
FBgn0041096	rols	rolling pebbles	ANTS|Ants|CG12277|CG17155|CG32096|CG5679|Rol/Ants|Rols|Rols6|Rols7|anon-WO0257455.19|ants|ants/rols|l(3)08232|l(3)68Fd|l(3)j2A6|rols7|rols\ants
FBgn0041097	robo3	roundabout 3	CG14345|CG5423|CT17158|ROBO3|Robo|Robo 3|Robo-3|Robo3|dRobo-3|robo|robo-3
FBgn0041098	quiescin	quiescin	PDI(II)
FBgn0041099	ppo	poco pelo	EP2478
FBgn0041100	park	parkin	AAN12155.1|CG10523|Dpark|PARK|PARK2|PARKIN|PK|Park|Parkin|SD01679|dPARKIN|dParkin|dpark|dpk|park1|parkin|pk
FBgn0041102	ocn	ocnus	BcDNA:GH02250|CG7929|Ocn|bs29e10.y1
FBgn0041103	nht	no hitter	BG:DS07851.6|CG15259|DS07851.6|Nht|TAF4|TFIID|Taf4L|dTAF4L|dTAF[[II]]110|dTAF[[II]]110|dmTAF4b
FBgn0041104	neuro-d4	neuro-d4	
FBgn0041105	nerfin-2	nervous fingers 2	CG12809|Nerfin
FBgn0041107	ms(3)S125011b	ms(3)S125011b	1250/11|P2000|l(3)125011|l(3)S125011|ms(3)S125011
FBgn0041110	medo	medo	
FBgn0041111	lilli	lilliputian	154454_at|189Y|AFF4|BEST:GH09955|BcDNA:GM02019|CG8817|Lilli|S(ls)4|SS2-1|SY2-1|Su(Raf)2A|Su(Raf)2a|dAFF|dAFF4|l(2)00632|l(2)23Cc|l(2)K00632|l(2)K07920|l(2)k07920|l(2)k16124
FBgn0041112	l(3)cl-R3	lethal (3) cell lethal R3	cl3R3
FBgn0041113	l(3)cl-L5	lethal (3) cell lethal L5	cl3L5
FBgn0041114	l(3)S028404b	lethal (3) S028404b	0284/04|l(3)S028404
FBgn0041117	l(2)k09834	lethal (2) k09834	
FBgn0041118	l(2)k077	lethal (2) k077	
FBgn0041119	l(2)cl-R11	lethal (2) cell lethal R11	cl-R11|cl2R11
FBgn0041120	l(2)cl-L3	lethal (2) cell lethal L3	cl2L3
FBgn0041121	l(2)45Bf	lethal (2) 45Bf	
FBgn0041122	l(2)45Be	lethal (2) 45Be	
FBgn0041123	l(2)45Bd	lethal (2) 45Bd	
FBgn0041124	l(2)45Am	lethal (2) 45Am	
FBgn0041125	l(2)45Al	lethal (2) 45Al	
FBgn0041126	l(2)45Ak	lethal (2) 45Ak	
FBgn0041127	l(2)45Aj	lethal (2) 45Aj	
FBgn0041128	l(2)45Ah	lethal (2) 45Ah	
FBgn0041129	l(2)45Ag	lethal (2) 45Ag	
FBgn0041130	l(2)45Af	lethal (2) 45Af	
FBgn0041131	l(2)45Ae	lethal (2) 45Ae	
FBgn0041132	l(2)44Fj	lethal (2) 44Fj	
FBgn0041133	l(2)44Fi	lethal (2) 44Fi	
FBgn0041134	l(2)44Fh	lethal (2) 44Fh	
FBgn0041135	l(2)44Fg	lethal (2) 44Fg	
FBgn0041136	l(2)44Ff	lethal (2) 44Ff	
FBgn0041137	l(2)44Ea	lethal (2) 44Ea	
FBgn0041138	l(2)44Dd	lethal (2) 44Dd	
FBgn0041139	l(2)44Dc	lethal (2) 44Dc	
FBgn0041140	l(2)44Da	lethal (2) 44Da	
FBgn0041144	l(1)1Bm	lethal (1) 1Bm	
FBgn0041147	ida	imaginal discs arrested	APC5|Apc5|CG10850|IDA|Ida|l(3)63Fb|l(3)SH7
FBgn0041148	hypnos-P	hypnos-P	dRED
FBgn0041150	hoe1	hoepel1	BcDNA:GH02636|CG11918|CG12787|CG2831|Hoe1|hoe|hoe-1
FBgn0041152	grim::rpr	grim::rpr	
FBgn0041153	freshair	freshair	
FBgn0041154	flk	flanker	
FBgn0041156	exex	extra-extra	CG8254|DHB9|Exex|HB9|Hb9|dHB9|dHb9|dhb9|hb9
FBgn0041157	en::ovo	en::ovo	
FBgn0041158	dos::tor	dos::tor	
FBgn0041159	dos::Hsap\GAB1	GAB1	
FBgn0041160	comm2	comm2	CG7554
FBgn0041163	aya	aya	
FBgn0041164	armi	armitage	APC16|ARMI|Armi|CG11513
FBgn0041165	anon-F1	anon-F1	F1
FBgn0041166	anon-C1	anon-C1	C1
FBgn0041167	anon-A6	anon-A6	A6
FBgn0041168	anon-A3	anon-A3	A3
FBgn0041169	anon-82Aa	anon-82Aa	cB151
FBgn0041171	ago	archipelago	Ago|CG15010|DmFbw7|FBXW3|FBXW7|SCF[Ago]|SCF[Ago]|anon-WO0118547.345|cdc4
FBgn0041172	ade4	ade4	
FBgn0041174	Vhl	von Hippel-Lindau	BcDNA:RH61560|CG13221|DVhl|Dvhl|VHL|d-VHL|d-vhl|dVHL|dmVHL|vhl
FBgn0041175	Ubx::Hrob\Lox2	Ubx::Hrob\Lox2	
FBgn0041176	Ubx::Hmed\Lox4	Lox4	
FBgn0041177	Ubx::Akap\Ubx	Ubx::Akap\Ubx	
FBgn0041180	Tep4	Thioester-containing protein 4	CG10363|CT29102|TEP IV|TEP4|TEP4mel|TEPIV|Tep IV|Tep4|TepIV|dTEPIV|tep4|tepIV
FBgn0041181	Tep3	Thioester-containing protein 3	CG7068|TEP3|TEP3mel|TEPIII|Tep3|TepIII|dTEPIII
FBgn0041182	Tep2	Thioester-containing protein 2	145970_at|145971_at|CG18589|CG7052|T13|TEP II|TEP2|TEP2mel|Tep 2|Tep II|Tep2|TepII|dTEPII|tep2|tepII
FBgn0041183	Tep1	Thioester-containing protein 1	BG:DS00365.2|CG18096|TEP I|TEP1|TEP1mel|Tep 1|Tep I|Tep-1|Tep1|TepI|dTEPI|tep1
FBgn0041184	Socs36E	Suppressor of cytokine signaling at 36E	CG15154|SCOS36E|SOCS|SOCS36|SOCS36E|SocS36E|Socs|Socs36|Socs36e|anon-EST:Liang-2.2|clone 2.2|dSOCS|dmSocs36E|socs36E|socs36e|socs60E1
FBgn0041186	Slbp	Stem-loop binding protein	CG11886|SLBP|dSLBP|dSLPB|slbp
FBgn0041188	Atx2	Ataxin-2	ATX2|ATXN2|Ataxin-2|Atx-2|Atxain-2|BEST:GH27029|CG43368|CG5166|CG5166a|DAtx2|Datx2|GH27029|SCA2|Sca2|anon-EST:fe2E1|anon-WO0118547.351|anon-WO0140519.1|atx-2|atx2|dAtx2|dSCA2|l(3)06490
FBgn0041189	SSP6107	SSP6107	
FBgn0041191	Rheb	Ras homolog enriched in brain	CG1081|DReb|Dm Rheb|DmRheb|Q9VND8|RHEB|RheB|dRheb|rheb
FBgn0041194	Prat2	Phosphoribosylamidotransferase 2	CG10078|DmPrat2
FBgn0041195	Pkd2	Polycystic kidney disease 2	AMO|Amo|CG6504|Dmpkd2|PKD2|TRPP|TRPP2|amo|pkd2
FBgn0041197	PH4α-RP	prolyl-4-hydroxylase-a related protein	PH(II)a|PHa-RP|PHaRP
FBgn0041202	Lipocalin	Lipocalin	Dmel.Lip
FBgn0041205	key	kenny	CG16910|DmIKK-gamma|DmIKK-γ|DmIKKgamma|DmIKKγ|Dmikkgamma|Dmikkγ|IKK|IKK-gamma|IKK-γ|IKKG|IKK[[gamma]]|IKK[[γ]]|IKKg|IKKgamma|IKKγ|Ikkgammabeta|Ikkγβ|KEY|Kenny|Key|dIKK|dIKK-gamma|dIKK-γ|dIKKgamma|dIKKγ|dmIKKgamma|dmIKKγ|kenny
FBgn0041210	HDAC4	Histone deacetylase 4	CG1770|DHDAC4|GC1770|HDAC|HDAC4a|Hdac4|dHDAC4|dmHDA405|hdac4
FBgn0041211	H23-14	H23-14	
FBgn0041224	Gr97a	Gustatory receptor 97a	97D.1|97a|CG31073|CG31074|CG33083|GR97D.1|GR97a|Gr97D1
FBgn0041225	Gr94a	Gustatory receptor 94a	94E.1|CG31280|GR94E.1|GR94a|Gr94E1
FBgn0041229	Gr93a	Gustatory receptor 93a	93F.1|CG13417|GR93|GR93F.1|GR93a|Gr93F1
FBgn0041231	Gr68a	Gustatory receptor 68a	68D.1|CG7303|GR68D.1|GR68a|Gr68D1
FBgn0041232	CG32395		65C.1|CG32395|GR65C.1|Gr65C1|Gr65a
FBgn0041233	Gr59e	Gustatory receptor 59e	59E.2|59E2|CG15872|CG33151|GR59E.2|GR59e|Gr59E|Gr59E2
FBgn0041234	Gr59f	Gustatory receptor 59f	59E.1|CG33150|CG5365|GR59E.1|GR59f|Gr59E1
FBgn0041235	Gr59c	Gustatory receptor 59c	59D.2|59D2|CG13543|CG30186|GR59D.2|GR59c|Gr59D2
FBgn0041236	Gr59d	Gustatory receptor 59d	59D.1|59D1|CG13543|CG30330|GR59D.1|GR59d|Gr59D1
FBgn0041237	Gr58c	Gustatory receptor 58c	58A.3|58A3|CG13491|GR58A.3|GR58c|Gr58A3
FBgn0041238	Gr58b	Gustatory receptor 58b	58A.2|58A2|CG13495|GR58A.2|Gr58A2
FBgn0041239	Gr58a	Gustatory receptor 58a	58A.1|58A1|CG30396|GR58A.1|Gr58A1
FBgn0041240	Gr57a	Gustatory receptor 57a	57B.1|CG13441|GR57B.1|GR57a|Gr57B1
FBgn0041241	Gr47b	Gustatory receptor 47b	47F.1|CG30030|GR47F.1|GR47b|Gr47F1
FBgn0041242	Gr47a	Gustatory receptor 47a	47A.1|47A1|CG12906|GR47A.1|GR47a|Gr47A|Gr47A1
FBgn0041243	Gr43a	Gustatory receptor 43a	43C.1|43C1|CG1712|DmGr43a|GR43C.1|GR43a|Gr43C1|gr43a
FBgn0041245	Gr39b	Gustatory receptor 39b	39D.1|39D1|CG31620|GR39D.1|GR39b|Gr39D1
FBgn0041246	Gr32a	Gustatory receptor 32a	32D.1|32D1|CG14916|GR32D.1|GR32D1|GR32a|Gr32A|Gr32D1|Gr32d
FBgn0041247	Gr28a	Gustatory receptor 28a	28A.1|CG13787|GR28A.1|GR28a|Gr28A1|Gr28A2
FBgn0041248	Gr23a	Gustatory receptor 23a	23A.1a|23A1.b|23A1a|23A1b|CG15396|GR23A.1|GR23a|Gr23A1a|Gr23A1b|Gr23a.a|Gr23a.b|Gr23aA|Gr23aB
FBgn0041249	Gr22f	Gustatory receptor 22f	22B.1|CG31932|GR22B.1|GR22b1|GR22f|Gr22B1
FBgn0041250	Gr21a	Gustatory receptor 21a	(GR) 21a|21D.1|CG13948|DmGr21a|GR21D.1|GR21D1|GR21a|Gr21D1|gr21a
FBgn0041252	Femcoat	Femcoat	CG15573|femcoat
FBgn0041255	E3	E3	
FBgn0041256	E(csw)3B	E(csw)3B	
FBgn0041257	E(Src64)2B	E(Src64)2B	
FBgn0041258	DyrkH	DyrkH	
FBgn0041336	Cyp6t2Ψ	Cyp6t2Ψ	6t2p|CR31621|Cyp6t2p
FBgn0041337	Cyp309a2	Cytochrome P450 309a2	309a2|CG18559
FBgn0041340	Circe\pol	Circe element pol	ORF2a|ORF2b
FBgn0041341	Circe\gag	Circe element gag	ORF1
FBgn0041342	Pcyt1	Phosphocholine cytidylyltransferase 1	CCT1|CG1049|CT41283|Cct|Cct1|cct1|pcyt1
FBgn0041574	CG14599		
FBgn0041578	BC1	BC1	
FBgn0041579	AttC	Attacin-C	Att|Attacin C|Attacin-C|C|CG4740|DIM 16|DIM-16|MPAC|att|att C|attC|attacin|attacin c
FBgn0041581	AttB	Attacin-B	Att|Att B|AttB1|AttB2|AttBn|Attacin B|Attacin-B|Attb|CG18372|att|att B1|attB|attB1|attacin b
FBgn0041582	tamo	tamo	60B|CG4057
FBgn0041584	whsc1	whsc1	Dm_whsc1
FBgn0041585	Orai	Orai	BcDNA:LD03241|CG11430|CRACM1|DOrai|ORAI|ORAI1|Olf186-F|Orai|Orai1|dOrai|dOrai1|dorai|l(2)k11505|olf186-F|orai
FBgn0041586	mei-217::mei-218	mei-217::mei-218	
FBgn0041588	eIF2D	eukaryotic translation initiation factor 2D	BcDNA:LD24540|CG31426|eIF2D|ligatin
FBgn0041589	l(3)S136802	lethal (3) S136802	1368.02
FBgn0041591	l(3)S052908a	lethal (3) S052908a	0529/08|529.08|l(3)S052908
FBgn0041593	l(3)HC1	lethal (3) HC1	
FBgn0041594	l(3)10	lethal (3) 10	
FBgn0041595	l(2)SK1	lethal (2) SK1	
FBgn0041596	l(2)PJ25	lethal (2) PJ25	
FBgn0041597	l(2)PJ20	lethal (2) PJ20	
FBgn0041598	l(2)Ia	lethal (2) Ia	
FBgn0041599	l(2)IIa	lethal (2) IIa	
FBgn0041600	gav	gav	
FBgn0041601	g5	g5	
FBgn0041602	g11	g11	
FBgn0041603	fsco	four score	
FBgn0041604	dlp	dally-like	CG17703|CG32146|CG5031|CT16138|D-gpcB|DLP|Dally-like|Dlp|Dly|dly
FBgn0041605	cpx	complexin	BcDNA:GH27718|BcDNA:HL04936|BcDNA:RH26459|BcDNA:RH31085|CG32490|CPX|Cpx|DmCpx|dmCplx
FBgn0041609	anon-23Ac	anon-23Ac	
FBgn0041610	abd-A::Ubx	abd-A::Ubx	
FBgn0041612	X-element\ORF2	X-element ORF2	ORF2|RT
FBgn0041613	X-element\ORF1	X-element ORF1	
FBgn0041614	TAS	Telomeric Associated Sequences	
FBgn0041615	SM3-8	SM3-8	
FBgn0041616	SM3-6	SM3-6	
FBgn0041617	SM3-3	SM3-3	
FBgn0041618	SM3-2	SM3-2	
FBgn0041619	SM2-1	SM2-1	
FBgn0041621	Or82a	Odorant receptor 82a	82a|CG31519|DOR61|DmOR82A|DmOr82a|OR82a
FBgn0041622	Or69a	Odorant receptor 69a	69F.1|69a|69b|CG17902|CG32116|CG33264|DOR82|DOR83|DmOr69a|Or69A|Or69aA|Or69aB|Or69ab|Or69b|or69a
FBgn0041623	Or65c	Odorant receptor 65c	65c|CG32403|DOR65|LU27.3
FBgn0041624	Or65b	Odorant receptor 65b	65b|CG32402|DOR63|LU27.1
FBgn0041625	Or65a	Odorant receptor 65a	65a|CG32401|DOR66|LU27.2|OR65a
FBgn0041626	Or19a	Odorant receptor 19a	19A.1|19a|CG18859|DOR37|DmOr19a|OR19a|Or19a-1
FBgn0041627	Ku80	Ku80	BG:DS09217.6|CG18801|DmKu80|KU80|Ku|ku80
FBgn0041629	Hexo2	Hexosaminidase 2	CG1787|DmHex2|HEX 2|HEX2|HEXO2
FBgn0041630	Hexo1	Hexosaminidase 1	CG1318|DmHex1|HEX 1|HEX1|HEXO1
FBgn0041631	HSE	Heat shock element	
FBgn0041632	F-element\gag-r	F element gag-related	F-ORF1|F\ORF1
FBgn0041633	F-element\RTase	F element reverse transcriptase	F-ORF2|F\ORF2|ORF2
FBgn0041635	EM3-1	EM3-1	
FBgn0041702	CG15107		
FBgn0041706	CG3253		BEST:GH04269|dibeta3GnT1|diβ3GnT1
FBgn0041707	7B2	7B2	CG1168|FBgn0040073|d7B2
FBgn0041709	yellow-g	yellow-g	CG5717|g|yell-g|yellow-G
FBgn0041710	yellow-f	yellow-f	CG18550|DI|Yellow-F|Yellow-f|yell-f|yellow f
FBgn0041711	yellow-e	yellow-e	CG9792|e|yell-e
FBgn0041712	yellow-d	yellow-d	BcDNA:GH20107|CG9889|d|yell-d
FBgn0041713	yellow-c	yellow-c	BG:DS00929.8|CG4182|Yellow C|anon-EST:ParkEST125|yell-c
FBgn0041715	teu	teufel	
FBgn0041716	srn	stern	
FBgn0041717	snRNA:U6atac	small nuclear RNA U6atac	CR32989|U6|U6atac|U6atac-29B|U6atac:29B|l(2)k01105|snRNA:U6atac:29B
FBgn0041719	snRNA:U4:25F	small nuclear RNA U4 at 25F	CR32998|K3|U4|U4 snRNA|U4-2|U4-25F|U4-snRNA|U4:25F|U4snRNA|dU4|snRNA, U425F|snRNA:U4
FBgn0041720	snRNA:U2:34ABc	small nuclear RNA U2 at 34AB c	34B U2|CR33788|K6|U2|U2 snRNA|U2-34ABc|U2:34ABc|U2snRNA|dU2|snRNA:U2
FBgn0041721	snRNA:U12	small nuclear RNA U12	73B U12|CR32162|U12|U12:73B|anon-WO0172774.79|dU12|snRNA:U12:73B
FBgn0041722	rsh	rsh	
FBgn0041723	rho-5	rhomboid-5	CG33304|CG5364|CT17046|Rho-related[31D10]|Rho-related[31D10]|iRhom|iRhom1
FBgn0041726	Rt1a\pol	Rt1a element pol	ORF2|Waldo-B\RTase|pilger\pol
FBgn0041727	Rt1a\gag	Rt1a element gag	ORF1|Waldo-B\gag|pilger\gag
FBgn0041729	p400	p400	
FBgn0041730	ovr	overheated	
FBgn0041732	mini-dumpy	mini-dumpy	
FBgn0041733	mer-on-3	merlin on 3	mer
FBgn0041734	mali	mali	
FBgn0041735	l(3)65AEa	lethal (3) 65AEa	
FBgn0041736	l(3)63Eg	lethal (3) 63Eg	group III
FBgn0041737	l(3)63Ef	lethal (3) 63Ef	group I
FBgn0041738	l(2)k17019a	lethal (2) k17019a	
FBgn0041739	l(2)EL3	lethal (2) EL3	
FBgn0041740	l(2)DL1	lethal (2) DL1	
FBgn0041741	l(2)44Fr	lethal (2) 44Fr	
FBgn0041742	l(2)44Fq	lethal (2) 44Fq	
FBgn0041743	l(2)44Fk	lethal (2) 44Fk	l(2)44Fh
FBgn0041744	l(1)em5	lethal (1) em5	
FBgn0041745	l(1)em4	lethal (1) em4	
FBgn0041746	l(1)em3	lethal (1) em3	
FBgn0041747	l(1)em2	lethal (1) em2	
FBgn0041748	l(1)em1	lethal (1) em1	
FBgn0041749	l(1)A106.1F1	lethal (1) A106.1F1	A106.1F1.L
FBgn0041751	hocher	hocher	
FBgn0041752	hexe	hexe	
FBgn0041753	hedera	hedera	
FBgn0041754	head-peptide	head peptide	
FBgn0041756	eth-as314	eth-as314	eth[as]314|eth[as]314
FBgn0041757	eth-as313	eth-as313	eth[as]313|eth[as]313
FBgn0041758	eth-as312	eth-as312	eth[as]312|eth[as]312
FBgn0041759	eth-aS307	eth-aS307	eth[aS]307|eth[aS]307
FBgn0041760	efe	efendi	
FBgn0041761	dra	drache	
FBgn0041762	centrin	centrin	
FBgn0041763	btd::Hsap\SP1	btd::Hsap\SP1	
FBgn0041764	aos::fng	argos::fng	argos::fng
FBgn0041765	anon-d47	anon-d47	d47
FBgn0041766	anon-d44	anon-d44	d44
FBgn0041767	anon-d43	anon-d43	d43
FBgn0041768	anon-d36	anon-d36	d36
FBgn0041769	anon-d35	anon-d35	d35
FBgn0041770	anon-d34	anon-d34	d34
FBgn0041771	anon-d29	anon-d29	d29
FBgn0041773	amanda	amanda	ada
FBgn0041774	Winnebago	Winnebago	
FBgn0041775	tral	trailer hitch	BEST:GH08269|CG10686|DmLSm15|LSm15|Lsm15|Scd6p|TRAL|Tral|anon-EST:Posey139|anon-WO0172774.89|anon-WO02059370.24|p67|p70
FBgn0041780	Ssl2	Strictosidine synthase-like 2	CG11833|DmSSl2|SSl2
FBgn0041781	SCAR	SCAR	BEST:SD02991|CG4636|D-SCAR|DWave|DmSCAR|Dscar|SCAR/WAVE|Scar|WAVE|WAVE/SCAR|Wave|dWAVE|l(2)k03107|l(2)k13811|scar|scar/wave|wave
FBgn0041782	S(Sev-CycE)D30	S(Sev-CycE)D30	
FBgn0041783	S(Sev-CycE)D28	S(Sev-CycE)D28	
FBgn0041784	S(Sev-CycE)D2	S(Sev-CycE)D2	
FBgn0041785	S(Sev-CycE)D17	S(Sev-CycE)D17	
FBgn0041786	S(Sev-CycE)D16	S(Sev-CycE)D16	
FBgn0041789	Pax	Paxillin	CG18061|CG18576|CG31794|CT40481|CT42454|DPaxillin|DPxn|DPxn37|Dpax|DpaxA|PAX|PDLP|Paxillin|Pxn|dPax|pAX|pax
FBgn0041826	KA16-II	KA16-II	
FBgn0041827	ISO-Q	ISO-Q	
FBgn0041832	Eth-AR315	Eth-AR315	Eth[AR]315|Eth[AR]315
FBgn0041833	Eth-AR310	Eth-AR310	Eth[AR]310|Eth[AR]310
FBgn0041834	Eth-AR308	Eth-AR308	Eth[AR]308|Eth[AR]308
